ID,Descripcion,Marca,NumeroSerie,Rango,EstadoEquipo,FrecuenciaMeses,FechaCalibracion,FechaVencimiento,EstadoCalibracion,Ubicacion,Foto,URLCertificado
CALCA-001,VERNIER,MITUTOYO,A25016716,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-001.jpg,certificados/CALCA-001.pdf
CALCA-002,VERNIER,MITUTOYO,A21191861,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-002.jpg,certificados/CALCA-002.pdf
CALCA-003,VERNIER,MITUTOYO,A24299991,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-003.jpg,certificados/CALCA-003.pdf
CALCA-004,VERNIER,MITUTOYO,A23044177,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-004.jpg,certificados/CALCA-004.pdf
CALCA-005,VERNIER,MITUTOYO,SN,12Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-005.jpg,certificados/CALCA-005.pdf
CALCA-006,VERNIER,MITUTOYO,SN,12Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-006.jpg,certificados/CALCA-006.pdf
CALCA-007,VERNIER,MITUTOYO,0060962,12Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-007.jpg,certificados/CALCA-007.pdf
CALCA-008,VERNIER,MITUTOYO,SN,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-008.jpg,certificados/CALCA-008.pdf
CALCA-009,VERNIER,MITUTOYO,SN,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-009.jpg,certificados/CALCA-009.pdf
CALCA-010,VERNIER,MITUTOYO,0039612,8Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-010.jpg,certificados/CALCA-010.pdf
CALCA-011,PIE DE REY,MITUTOYO,71716187,18Pulgadas,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-011.jpg,certificados/CALCA-011.pdf
CALCA-012,PIE DE REY,MITUTOYO,SN,300Milimetros,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALCA-012.jpg,certificados/CALCA-012.pdf
CALMI-001,MICROMETRO,MITUTOYO,71500992,1Pulgada,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALMI-001.jpg,certificados/CALMI-001.pdf
CALMI-002,MICROMETRO,MITUTOYO,76234396,1Pulgada,ACTIVO,12,27/02/2026,28/02/2027,CALIBRADO,Laboratorio,imagenes/CALMI-002.jpg,certificados/CALMI-002.pdf
